collection,collected.by,archived.since,description,subject,creator,publisher,type,date,collector,language,extra
 COVID-19 Pandemic and Northwestern University , Northwestern University Libraries ,2022-06,"
The COVID-19 pandemic, also known as the coronavirus pandemic, was caused by a viral strain of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) which was first identified as an outbreak in Wuhan, China in December 2019. The United States’ first documented case of the virus was in January 2020 and the World Health Organization categorized the outbreak as a pandemic on March 11, 2020. In an effort to minimize transmission of the virus, Northwestern University responded by transitioning to remote education and services early in the pandemic and participating in research related to the virus and treatments. This collection of web archives documents the COVID-19 pandemic through the lens of Northwestern University.",,NA,NA,NA,NA,NA,NA,NA
 Lehigh University , PACSCL ,2020-05,"
A collection of websites related to the COVID-19 pandemic. Included sites are meant to be representative of the response to COVID-19 by Lehigh University, the city government, and the Bethlehem community.",,NA,NA,NA,NA,NA,NA,NA
 CIFAR Bay Area Civic Orgs SUBSITES , Civic Organizations and Bay Area Communities during COVID-19 (CIFAR Project) ,2021-02,NA,,NA,NA,NA,NA,NA,NA,NA
 CIFAR Bay Area Civic Orgs Standard , Civic Organizations and Bay Area Communities during COVID-19 (CIFAR Project) ,2021-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Medical Center Archives of New York-Presbyterian/Weill Cornell Medical Center COVID-19 Web Archive , Cornell University Library ,2020-04,"
This collection documents the developing response to the novel coronavirus (COVID-19) by the NewYork-Presbyterian/Weill Cornell Medical Center on its public-facing websites. The web captures date as early as March 2020, after the first case of COVID-19 was confirmed in New York. While many of the websites in this collection are already included in the ongoing Medical Center Archives of NewYork-Presbyterian/Weill Cornell Medical Center Archive Archive, they are now being captured on a more frequent basis to reflect the rapidity of the pandemic's spread and its consequent response.",,NA,NA,NA,NA,NA,NA,NA
 Tamiment-Wagner: NYC COVID-19 Web Activism , New York University ,2020-05,"
The NYC COVID-19 Web Activism Collection documents activists' use of social media and the internet to create content, online campaigns, online actions, virtual mutual aid networks and funds to highlight, resist, and call attention to ways in which COVID-19 has impacted New York City physically, emotionally, politically, and economically. This collection also focused on the ways in which this activism names and addresses the ways in which COVID-19 has disproportionately affected low income communities of color in New York City. Subjects covered within the scope of this collection include organizing around tenants rights and rent strikes; housing insecurity; decarceration campaigns and efforts to raise bail for incarcerated individuals (especially those facing COVID-19 outbreaks in New York City jails); efforts to confront and combat anti-Asian racism; demilitarization campaigns; efforts to confront and combat environmental racism; organizing around access to healthcare; neighborhood autonomy and agency; and support and organizing for workers who are striking against unsafe work conditions, lack of hazard pay, and/or lack of benefits. This is an artificial collection, materials were selected by Tamiment curators and arranged by an archivist.",,NA,NA,NA,NA,NA,NA,NA
 Hampshire College and Hampshire County COVID-19 Collection , Hampshire College ,2020-03,"
The 2019 Novel Coronavirus pandemic has had a global impact. Locally, in Amherst County and Amherst, Massachusetts, the operations of educational institutional (K-12 and higher education), area business and daily activities of the community have changed. This archive documents the developing response to COVID-19 in County, Government, and the administration of Hampshire College. The archive also documents the effect on faculty and staff as well as student life.",,NA,NA,NA,NA,NA,NA,NA
 New York City COVID-19 Food Studies , New York University ,2020-09,"New York City COVID-19 Food Studies Web Collection is made of archived websites that detail the impact on COVID-19 on food communities in New York City. It documents the effects of the pandemic on New York University's campuses and their surrounding food communities, their shifts in cultural, economic, and social practices around the city, and their organizing and response efforts, with an intentional focus on Black and Indigenous People of Color, Asian American Pacific Islander, and LGBTQIA+ communities.  Food communities documented in the collection consist of food workers, farms and their workers, food non-profits, food vendors, farmers' markets, private and community gardens, alternative food sources, mutual aid networks, community refrigerators and food pantries, restaurants, and soup kitchens. The collection focuses on issues of food justice and food scarcity through a lens of race and class. within NYU's staff and students and in the greater New York City community.",,NA,NA,NA,NA,NA,NA,NA
 Western Pennsylvania COVID-19 Response Collection , Senator John Heinz History Center ,2019-12,"
In March of 2020, staff of the Detre Library & Archives at the Heinz History Center organized a collecting initiative to document the impact of COVID-19 on Western Pennsylvania. Since that time, archivists and museum curators have traced stories of community response and resilience, building a collection of diverse archival materials, three-dimensional objects, and web content. Recommendations of URLs to be crawled were also welcomed from members of the public using a nomination form. Through Archive-It, staff have captured web sources relating to local business and industry, community organizations, religious communities, municipal government, people with disabilities, schools, recreation, healthcare, charitable giving, the arts, and cultural institutions across the region.",,NA,NA,NA,NA,NA,NA,NA
 Thematic Collection: COVID-19 & the Business World , Harvard Business School ,2020-04,"
Archived website collection of articles and web pages related to the response of selected government agencies and business organizations to the Coronavirus Pandemic. Researchers will find day-by-day snapshots of the efforts of U.S. government agencies to remedy the financial effects of COVID-19 pandemic, as well as the policy reactions of notable business organizations, trade associations, and consulting firms. The impact on small business and on the New York area are a particular focus.",,NA,NA,NA,NA,NA,NA,NA
 Fales Library: NYC Arts Community COVID-19 Response , New York University ,2020-04,"
The New York City Arts Community COVID-19 Response Web Collection documents art galleries and art organizations use of their online presenece to respond to the COVID-19 pandemic and by extension the Black Lives Matter movement. The collection consists of digital art exhibits that highlight existing work that relates to COVID-19 pandemic, especially art created during the AIDS epidemic. Other online art exhibits (and later in-person exhibits) highlight and commission new work, with focuses on themes such as mutual aid, community care, social distancing, the activity of creation during the pandemic, uncertainty, climate change, government aid (and lack thereof), mental health, the pandemic outside of New York, death, healing, and Black and transgender lives. The websites also focus on the organizations' shifts to virtual events, including reading series, book clubs, fundraisers, awards, and video programs. In addition, the websites also provide resources for artists related to mental and physical health, grants and fellowships, professional development tools to find jobs and present work online. This is an artificial collection, materials were selected by Fales curators and arranged by an archivist.",,NA,NA,NA,NA,NA,NA,NA
 California Project Roomkey and Project Homekey ," Stanford University, Social Sciences Resource Group ",2020-10,"
This is a collection of websites documenting two programs to provide support and housing to California's homeless populations during the COVID-19 pandemic.  Project Roomkey was established in March 2020 as part of the state response to the COVID-19 pandemic. The purpose of Project Roomkey is to provide non-congregate shelter options for people experiencing homelessness, protect human life, and minimize strain on health care system capacity.",,NA,NA,NA,NA,NA,NA,NA
 Science History Institute COVID-19 collection , PACSCL ,2020-06,"
The Science History Institute is collecting web content that documents the lived experience of those living in Philadelphia during the COVID-19 pandemic. Collecting areas include:  1. How non-pharmaceutical mitigation strategies such as social distancing were defined and enforced in Philadelphia 2. How the urban healthcare system in Philadelphia was strained and expanded in the face of this crisis  3. How information about the virus was circulated to the public in Philadelphia",,NA,NA,NA,NA,NA,NA,NA
 WashU in the News COVID-19 Websites Collection | WUA00528 , Washington University in St. Louis ,2020-03,"
A special collection under the umbrella of University Archives, this collection consists of copies of websites harvested between March 30, 2020 through December 31, 2022. The majority of websites represent news articles selected from the WashU in the News daily email service provided by University Marketing and Communications. All articles chosen for the archive concern COVID-19 and Washington University in St. Louis in one or more of the following ways: discusses the pandemic’s impact on WashU students, faculty, staff, or institution; discusses WashU’s contribution to COVID-19 research; was written by a WashU-affiliated person; contains an interview or significant number of quotes by a WashU-affiliated person. For a guide to this collection, see the finding aid here: https://aspace.wustl.edu/repositories/4/resources/1011",,NA,NA,NA,NA,NA,NA,NA
 Theater during the COVID-19 pandemic web archive ," Wayne State University, School of Information Sciences ",2024-08,"When the COVID-19 pandemic swept through the world in March 2020, countries around the world instituted quarantines or “lockdowns” in an effort to slow the spread of the virus. Theaters were made to close down, cancelling ongoing performances and seasons without knowing if or when they would be back. In response, both professional and amateur theaters began various initiatives to bring theater to people at home while giving actors and other theater practitioners creative opportunities. Although theaters have reopened, COVID-19 had a massive impact financially, creatively, technologically, and existentially. This archive aims to capture some of that impact through news sources and blogs reporting on the shutdown and aggregating various virtual theatrical pursuits, from streaming already-filmed plays and musicals to performing live Shakespeare on Zoom. | The collection represents the captured websites as they existed in 2024, four years after the implementation of COVID quarantines. Because of this, many websites linked within the articles captured no longer exists or do not reflect the original link. However, the captured sites still offer insight into the way the COVID-19 shut-downs affected theaters and performers",,NA,NA,NA,NA,NA,NA,NA
" COVID-19: Vancouver Island, BC (Central & North) ", Vancouver Island University ,2020-03,"In March 2020 the Canadian Web Archiving Coalition (CWAC) stated: ""The deadly flu outbreak of 1918-19 is often called the ‘forgotten pandemic.’ Our responsibility now is to ensure the lessons of COVID-19 are not forgotten. Our collective efforts to capture and preserve the essential online elements of this unprecedented event are critical."" (CARL-ABRC). The COVID-19: Vancouver Island, BC (Central & North) Web Archive reflects community experiences and responses to the pandemic in the region served by Vancouver Island University, documenting and supporting diverse aspects of scholarly inquiry, creativity, and community life. The Web Archive is intended to provide a body of information that will support scholarship, creativity, and study. Information rights related to web archiving include considerations of copyright and fair dealing, and of individual and community privacy. The following are among principles and resources that guide web archiving decisions: Ethics of care, for example in VIU Library’s Pledge to our user communities; OCAP® principles, and awareness of relationality and accountability to Indigenous communities, and potential impacts related to web archiving; Good practice and expert advice, emerging and accessed through communities of practice, e.g. the Canadian Web Archiving Coalition (CWAC); and VIU Library, Evolution of Physical Collections: 2017-2021 VIU Library, Special Collections Guidelines (Under review 2020). Web archives are informed by available capture technologies and also by affordances of the content source; not all websites can be successfully crawled or rendered, and quality of archived versions varies. This project is supported by VIU's Special Funding for COVID-19 research projects and carried out in coordination with the University of Victoria’s COVID-19 Collection and the Canadian Web Archiving Coalition. Contact us at research.help@viu.ca with questions or for more information about content included in the Web Archive. [Working description 2021 April 6]",,NA,NA,NA,NA,NA,NA,NA
 COVID-19: Virginia Pubic Schools and Higher Education Collection , Library of Virginia ,2020-04,"
On March 23, 2020, Virginia Governor Ralph Northam issued Executive Order No., 53 that ended all in-person instruction at K-12 schools in the Commonwealth’s 132 school divisions. With schools now closed for the remainder of 2019-2020 academic year, each school division determined how learning would continue. The Virginia Department of Education (VDOE) issued guidance to help school divisions execute plans to continue instruction. In order to capture the implementation of VDOEs changing guidance, this collection archives each school division’s website as well as any COVID-19 specific sites from April 2020 to August 2022. Also included are COVID-19 specific websites for Virginia’s colleges and universities and the Virginia Department of Education website. This collection of over 500 websites documents the digital divide and the need for rural broadband, the importance of schools providing meals to students, mask and quarantine policies, and the use of a variety of digital platforms used for online learning.",,NA,NA,NA,NA,NA,NA,NA
 Triad COVID-19 , University of North Carolina Greensboro ,2020-05,"
The Triad COVID-19 Collection documents unique pieces of web content across the Piedmont Triad area of North Carolina in response to the COVID-19 pandemic. Web archiving began in May 2020, capturing how the Triad community used and experienced the web throughout the global pandemic. The scope of the collection includes websites, web pages, born-digital documents, and videos created by county government, regional hospitals, K-12 schools, universities, non-profit organizations, community landmarks, and community initiatives. Content captured includes information about the spread of infection, regional containment efforts, modified services and closures, and mask projects.",,NA,NA,NA,NA,NA,NA,NA
 Thematic Collection: HBS Response to COVID-19 Pandemic , Harvard Business School ,2020-03,"
A collection of archived news articles from various news sources, blogs, and websites documenting the Harvard Business School response to the COVID-19 Pandemic of 2020. Articles relate to efforts to maintain operations of the school during the pandemic, efforts to keep students and employees safe, and the role of HBS faculty in offering expert opinion on business and work during the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 and Remote Learning: Advice and Support for Parents and Caregivers of K-12 Students ," San Jose State University, School of Information ",2022-08,"
This collection consists of resources and guidance for parents and caregivers of K-12 students learning remotely during the COVID-19 pandemic. This collection includes articles, platforms, and educational applications to assist families in facilitating student learning.",,NA,NA,NA,NA,NA,NA,NA
 University of Louisville Documenting Covid-19 , University of Louisville ,2020-06,"
Selected websites of the University of Louisville and its constituent departments that document the university community’s activities during and responses to the COVID-19 pandemic beginning in March 2020.  All other University of Louisville web content, including for example UofL News referring to the pandemic, can be found under University of Louisville Websites.",,NA,NA,NA,NA,NA,NA,NA
 F&M Pandemic Operations , Franklin & Marshall College ,2021-08,"
Includes weekly F&M COVID-19 Dashboard reports, Health and Safety information, and Living on Campus during the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 University of Illinois at Urbana-Champaign Massmails , The Board Trustees of the University of Illinois Urbana-Champaign ,2021-10,"
The Massmail Web Archive includes captures of the website that holds the archives of the Massmails sent out to campus audiences going back to 2017. Massmail is a system that is used to send campus audiences important emails. Audiences include Academic Professionals/Allied Agencies, Civil Service Staff, Faculty, Graduate Students, Undergraduate Students, and Unpaid, Hourly, and Extra Help. Significant massmails relate to COVID-19 response.",,NA,NA,NA,NA,NA,NA,NA
 Union College Collection , Union College  ,2017-07,"
Web content created by Union College's administration, student organizations, and departments",,NA,NA,NA,NA,NA,NA,NA
 Westborough's Coronavirus Pandemic Response , Westborough Public Library ,2020-04,"
This collection attempts to document the various ways that Westborough responded to the covid-19 coronavirus outbreak of 2020. More responses can be found in other Archive-It collections from around this time period.",,NA,NA,NA,NA,NA,NA,NA
" University of Nevada, Las Vegas Coronavirus Web Archive "," University of Nevada, Las Vegas ",2020-03,"
The collection is comprised of archived websites documenting the Las Vegas Valley response to the Novel Coronavirus (Covid-19) pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Commonwealth of Pennsylvania Covid-19 Documents , PACSCL ,2020-05,"
The Commonwealth of Pennsylvania's official responses and guidelines for citizens and state agencies during the 2020 Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Queens Public Library ,2020-04,"
New York City is the center of the U.S. pandemic and Queens has seen the highest numbers of diagnosed cases and hospitalizations: 33,468 and 9,729 respectively, as of April 13. The borough is experiencing high concentrations of COVID-19 cases, with Elmhurst Hospital and its surrounding neighborhoods at the epicenter of the crisis. As the New York Times reported on April 9, the communities of Corona, Elmhurst, East Elmhurst and Jackson Heights have a combined population of 600,000 but had recorded more than 7,000 coronavirus cases. This web archive collection captures news and other coverage from a variety of sources on the disproportionate impact the pandemic has had on Queens and the ways in which Queens residents are adapting during this moment in history. Captures for this collection are one-time captures. Collecting began in April 2020 and is ongoing.",,NA,NA,NA,NA,NA,NA,NA
 Manitoba COVID-19 Outbreak , University of Manitoba ,2020-03,"
The Manitoba COVID-19 Outbreak Collection created by the University of Manitoba Libraries in collaboration with the University of Winnipeg Archives preserves and makes accessible archived web content related to Manitoba's response to the Novel Coronavirus (Covid-19) global outbreak. This collection documents the socio-economic impacts of the pandemic on the province, which saw its first cases on March 12, 2020. Identification of relevant web content began in March 2020, shortly after the first cases were reported in Manitoba. Initial web crawling began in April 2020 and the collection is updated as needed throughout the duration of the pandemic. The content crawled by the University of Manitoba Libraries includes websites related to agriculture (farming, food producers, and related organizations), arts and culture (performing and fine arts organizations, companies, and associations), business, trades, and technology (establishments, companies, corporations, skilled labour, and organizations that promote economic development and innovation), education (early childhood education, elementary and secondary schools and school divisions, as well as post-secondary institutions), emergency services (police, firefighting, and paramedic services, and associations that represent them), entertainment and recreation services (local events, as well as leisure, tourism and hospitality services), and government (provincial and municipal levels, and crown corporations). It should be noted that the University of Manitoba and University of Winnipeg websites are not included in the crawled websites as they are routinely crawled by the respective institutions. The University of Winnipeg Archives have further documented websites relating to galleries, libraries, archives, and museums, health and wellness, Indigenous organizations, labour and unions, media and communications, religious organizations, and social work and services (see Relation field below).",,NA,NA,NA,NA,NA,NA,NA
 Cornell University and Tompkins County Coronavirus disease 2019 (COVID-19) Web Archive , Cornell University Library ,2020-03,"
The 2019 Coronavirus pandemic had an impact across the world. Locally, in Tompkins County and Ithaca, New York, the operations of the educational institutions, area business and daily activities of the community changed. This archive documents the developing responses to the virus in County, Town, and City governments and the administration of Cornell University and Ithaca College. The archive also captures the effect on the public, including student life, and their reaction.",,NA,NA,NA,NA,NA,NA,NA
 Academic Continuity Planning Group website , Williams College ,2020-04,"
A group charged with planning academic contingencies in light of the Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Manitoba COVID-19 Outbreak , University of Winnipeg ,2020-05,"
The Manitoba COVID-19 Outbreak Collection created by the University of Winnipeg Library in collaboration with the University of Manitoba Libraries preserves and makes accessible archived web content related to Manitoba's response to the Novel Coronavirus (Covid-19) global outbreak. This collection documents the socio-economic impacts of the pandemic on the province, which saw its first cases on March 12, 2020. Identification of relevant web content began in March 2020, shortly after the first cases were reported in Manitoba. Initial web crawling began in May 2020 and the collection is updated as needed throughout the duration of the pandemic.  The content crawled by the University of Winnipeg Library includes websites related to galleries, libraries, archives, and museums (cultural institutions, also known as GLAM, with a mission to provide access to knowledge); health and wellness (medical centres, medical associations, and organizations related to wellness and the improvement of health); Indigenous organizations (all organizations owned by or relating to Indigenous Peoples in Manitoba); labour and unions (any organization, association, or business dealing with labour relations and unions); media and communications (outlets used to store and deliver information, including print media, news, and broadcasting); religious organizations (religious and faith-based organizations with mission of social value based on that faith); and social work and services (public services provided by the government, private, profit, and non-profit organizations). It should be noted that the University of Manitoba and University of Winnipeg websites are not included in the crawled websites as they are routinely crawled by the respective institutions. Also note that some institutions may be cross listed with groups crawled by either or both Universities. The University of Manitoba Libraries have further documented websites relating to agriculture; arts and culture; business, trades, and technology; education; emergency services; entertainment and recreation services, and government.",,NA,NA,NA,NA,NA,NA,NA
 Hokies@Home , Virginia Tech Libraries ,2020-05,"
This web archive documents Virginia Tech's online presence related to the response to COVID-19. Please visit the Hokies@Home website at https://guides.lib.vt.edu/HokiesatHome to share your experience.",,NA,NA,NA,NA,NA,NA,NA
 Sonoma Responds COVID-19 community collection , Sonoma County Library ,2020-07,"This collection comprises the web content of Sonoma Responds: A Community Memory Archive, a library initiative launched in September 2020 inviting everyone who lives in, works in, and enjoys Sonoma County to document, share, and preserve the record of living through these remarkable times. The public and staff were asked to nominate web content that they think reflects this moment in history, with specific interest in amplifying and documenting experiences of Black, Indigenous, and folks of color, LGBTQ+ and disabled individuals and communities. To view the collection, visit digital.sonomalibrary.org",,NA,NA,NA,NA,NA,NA,NA
 Ad Hoc Committee on Financial Planning , Williams College ,2020-04,"
Ad Hoc Committee on Financial Planning site focused on economic response to Covid-19.",,NA,NA,NA,NA,NA,NA,NA
 Working Group on Returning for Fall 2020 website , Williams College ,2020-04,"
Website detailing the planning for the fall return to campus, following Covid-19.",,NA,NA,NA,NA,NA,NA,NA
 Global Health Events web archive , National Library of Medicine ,2014-10,"
A selective collection of over 21,000 web resources archived by the National Library of Medicine beginning in 2014 related to global health events, including the 2014 and 2016 Ebola outbreaks, Zika virus disease in 2015-2016, the Coronavirus disease (COVID-19) pandemic, and the 2022 Mpox (monkeypox) outbreak. Included in the archive are websites and social media of government and non-government organizations, journalists, healthcare workers, and scientists in the United States and around the world, with an aim to collect and preserve a diversity of perspectives. Archived websites are primarily in English. NLM will continue to develop, review, describe, and add content to the collection.",,NA,NA,NA,NA,NA,NA,NA
 BCIT Outreach and Alumni , British Columbia Institute of Technology ,2017-11,"
Series consists of quarterly crawls of the BCIT Alumni and BCIT Foundation websites starting from January 2018. In March of 2020 a daily crawl of BCIT Breaking News was added to capture BCIT's actions regarding the evolving COVID-19 pandemic. Crawls of the other sites switched to a semiannual schedule. Fall 2020 switched to an annual crawl. Breaking News and the COVID-19 site can now both be found in the BCIT Registrar, Facilities, Research & about BCIT collection.",,NA,NA,NA,NA,NA,NA,NA
 The Kalamazoo College Index , Kalamazoo College ,2021-05,"
Website of the Kalamazoo College student newspaper. The Index began publication in 1877 and was first published online in 2014.  In 2020 due to the COVID-19 pandemic it switched to online only publication.",,NA,NA,NA,NA,NA,NA,NA
 University of Massachusetts Coronavirus Response Collection , University of Massachusetts Amherst ,2020-03,"
Documenting the official response of the University of Massachusetts Amherst to the novel coronavirus (COVID-19) pandemic. This collection of websites is updated frequently to capture the fast changing nature of UMass's message and policies.",,NA,NA,NA,NA,NA,NA,NA
 UCSC 2020 Commencement , University of California Santa Cruz ,2020-07,"
UC Santa Cruz’s 2020 commencement ceremonies were conducted virtually due to COVID-19. This web archive includes videos, commencement addresses and testimonials from those ceremonies in celebration of UCSC's 2020 graduates.",,NA,NA,NA,NA,NA,NA,NA
 Village of Bensenville , Bensenville Community Public Library ,2021-04,"
This collection contains official websites and pages covering the governmental structure within the Village of Bensenville, including the Village itself, the Bensenville Community Public Library, the Bensenville Fire Protection District, and the Bensenville Park District.",,NA,NA,NA,NA,NA,NA,NA
 Committee on Campus Life and Policies , Williams College ,2020-10,"
The group will monitor Covid- 19 related conditions on campus and off, and make recommendations about policy changes in light of those conditions. They will also make recommendations regarding campus policies for the spring 2021 semester",,NA,NA,NA,NA,NA,NA,NA
" BCIT Registrar, Facilities, Research & about BCIT ", British Columbia Institute of Technology ,2017-10,"
Websites of BCIT's administrative departments; Admission and Registration, Facilities and Campus Development, Applied Research at BCIT, Institutional Research, Marketing and Communications, Human Resources, the Program Catalogue, Part-Time Studies, the Knowledge Base, the Learning and Teaching Centre as well as About BCIT pages. As of 2018-05-06 scope of this Collection has been expanded to include; Part Time Studies, BCIT Open House pages, Spend a Day at BCIT and Info Sessions as well as the BCIT Knowledge Base which includes ITS resources for students, staff and faculty. During COVID-19 the BCIT Breaking News and BCIT COVID-19 websites were crawled more frequently. Most sites crawled annually.",,NA,NA,NA,NA,NA,NA,NA
 The Coronavirus Days Web Archive , Indiana University ,2020-05,"
The Coronavirus Days project is co-led by Sarah Knott, Sally M. Reahard Professor, Indiana University Department of History, and Carrie Schwier, Outreach and Public Services Archivist at the IU Libraries University Archives. The overall project includes materials submitted by members of the IU community (including regional campuses) as well as residents of Monroe County that document the effects of the COVID-19 pandemic as well as the political and social justice movements of the period. This web archive includes submissions to the project in the form of social media and websites. It also includes a limited collection of web pages and social media accounts of Bloomington and Monroe County government and nonprofit organizations with significant content related to the COVID-19 response in the area, curated by the University Archives.",,NA,NA,NA,NA,NA,NA,NA
 Education , Bensenville Community Public Library ,2021-05,"
A collection of websites related to child care and education in Bensenville, including schools, day cares, and learning centers.",,NA,NA,NA,NA,NA,NA,NA
 Brexit , National Library of Ireland ,2018-10,"
A collection of websites relating to the UK Brexit referendum. This collection focuses on the Irish experience of Brexit. Content, including media coverage, for the years 2021-2022, may be found in the Covid-19 collection and the Irish media and commentary collection.",,NA,NA,NA,NA,NA,NA,NA
 Edna W. Lawrence Nature Lab , Rhode Island School of Design  ,2023-03,"
RISD's Edna W. Lawrence Nature Lab began publishing the Inspiration from Nature newsletter when RISD closed 2020 March 17 due to COVID-19.",,NA,NA,NA,NA,NA,NA,NA
 Wayne State University Websites , Wayne State University Walter P. Reuther Library ,2019-11,"
The Walter P. Reuther Library, Archives of Labor and Urban Affairs, preserves websites in the wayne.edu domain to document the history of the University's activities and accomplishments. The project, started in January 2020, initially limited captures to the websites of the Board of Governors, Dean of Students, Academic Success Center's Learn Anywhere resources, and those documenting the University's response to the COVID-19 outbreak.",,NA,NA,NA,NA,NA,NA,NA
 Bloomington Local Restaurants ," Dept. of Information and Library Science, Indiana University at Bloomington ",2021-05,"
This collection of websites documents some of the major local eating and hospitality establishments in Bloomington Indiana. The goal is to document local restaurants online presence starting in May of 2021 during and after the recovery of the COVID-19 pandemic, while documenting current local taste for future historians and foodies.",,NA,NA,NA,NA,NA,NA,NA
 Fales Library: No Longer Empty , New York University ,2022-04,"
No Longer Empty was an arts organization, established in 2009, that curates site-responsive exhibitions, education and public programs in unconventional locations around New York City. The collection is made up of the archived websites for the organization, focusing on their exhibits, events, and their education programs the Young Exhibition Makers and Youth Action Council. In July 2020, the organization ceased programming, due to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Labour Party Leadership Contest , National Library of Ireland ,2020-04,"
In February 2020, Labour leader Brendan Howlin announced his intention to step down as leader of the party. There were two candidates in the following leadership contest, Alan Kelly and Aodhán Ó Ríordáin. Kelly won the contest in April 2020. This collection contains the Labour party website. Please note that media coverage of this contest can be found in the Covid-19 collection.",,NA,NA,NA,NA,NA,NA,NA
 Blockeley University web archive , University of California Berkeley ,2020-07,"
Blockeley University is the effort of hundreds of students who in response to the Covid-19 pandemic, sustained their community by building the UC Berkeley campus in Minecraft, a sandbox video game. This effort was recognized by the Chancellor’s Office and a virtual commencement ceremony was conducted in the Blockley University Minecraft server.",,NA,NA,NA,NA,NA,NA,NA
 Muftiships , Ivy Plus Libraries Confederation ,2020-06,"
The Muftiships Web Archive preserces the websites — which may include videos, images, and PDF files — of Muftis and leading jurists from the Islamic world. These websites cover the responses of leading judicial authorities to current events in their respective countries (and in some cases well beyond). In addition to the content, the websites illustrate the manner in which these authorities engage with their public, and the ways in which Islamic law is administered in the digital age. In light of the Coronavirus pandemic in the Middle East and the Islamic world, these websites gained greater visibility. However, these jurists and institutions have been the focus of interest for decades. This is a collaborative project -- under the auspices of the Ivy Plus Libraries Confederation -- led by Gayle Fischer (Harvard University), Roberta Dougherty (Yale University), Peter Magierski (Columbia University), Guy Burak (New York University), and Sean Swanick (Duke University). Fatwa and other statements directly related to Covid-19 were supplied by Dr. Adnan Zulfiqar (Rutgers Law) as part of the 'Mapping Covid Fatwas' project, in conjunction with Harvard University's Program in Islamic Law.",,NA,NA,NA,NA,NA,NA,NA
 Widener University Collection , PACSCL ,2020-05,"
A collection of Widener websites focusing on the response to the COVID-19 pandemic, as well as general website content.",,NA,NA,NA,NA,NA,NA,NA
 Robert Crown Law Library Virtual Displays & Collections , Stanford Law Library ,2021-02,"
Starting in March 2020, the Robert Crown Law Library was closed due to the outbreak of COVID-19.  As result, library staff switch focus from in-person services on how to provide services and resources to be put online.  This collections of urls are microsites developed by Reference and Access Services Librarians to meet the need of our users.",,NA,NA,NA,NA,NA,NA,NA
 2020 Summer Olympics and Paralympics [held in 2021] , International Internet Preservation Consortium ,2021-03,"
A collection of websites related to the 2020 Summer Olympic and Paralympic Games (held in 2021, postponed due to the COVID-19 pandemic) in Tokyo, Japan. International Internet Preservation Consortium member institutions contributed suggested websites for inclusion in the collection.",,NA,NA,NA,NA,NA,NA,NA
 Mushroom Group ," University of Michigan, School of Information ",2022-04,"
A collection of websites that document how mushrooms have appeared in medicinal, aesthetic, culinary, and agricultural communities, with an emphasis on documenting changes occurring during and after the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Philadelphia Museum of Art Web Archives Collection , PACSCL ,2020-05,"
A collection of web material related to the Philadelphia Museum of Art with a focus on the Philadelphia area arts scene's response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Lexington-Fayette County (Ky.) Coronavirus Disease 2019 (COVID-19) Web Archives , University of Kentucky Libraries ,2020-03,"
Comprises University of Kentucky and Lexington-Fayette County, Kentucky, archived websites and social media pages that document the university and community activities during and responses to the coronavirus disease 2019/COVID-19 pandemic starting in 2020 March. Includes only those seeds, Facebook pages, and Twitter and Instagram hashtags that are specifically about the novel coronavirus 2019 or were included as they documented Kentucky’s experience with and response to the pandemic. However, some sites, social media accounts and hashtags, have evolved into use beyond the pandemic. Some social media pages and hashtags have Kentucky-wide content. All other University of Kentucky web content, including all the UKnow press releases referring to the pandemic and the university and UK HealthCare social media accounts, can be found in the University of Kentucky Web Archives. Other community organizations and individuals' online resources that include coronavirus disease 2019 documentation but that are broader in scope than just that topic can be found in the Organizational Records and Community Personal Papers Web Archives collection. All records harvested through Archive-It and Webrecorder. Non-university seeds and social media pages are grouped under under Community or Lexington-Fayette Urban County Government. Captured web pages and social media accounts can take a long time to load. Once a page is loaded, for access to embedded audio and video, users may have to click the play button in the Archive-It banner at the top of the page. The bulk of the seeds in this collection were captured from April 2020 to January 2023 and are no longer intentionally crawled. Many of these seeds may appear in other collections as long as the seed itself is still valid. Social media sites were not captured with consistent results, therefore some dates in Wayback may provide results while others may not.  Also, some seeds did not produce a capture because of technological challenges.  Those sites remain in the collection, but there is no associated content.",,NA,NA,NA,NA,NA,NA,NA
 San Antonio Food and Drink Web Collection , University of Texas at San Antonio Libraries Special Collections ,2010-05,"
A collection of websites and social media pages maintained by San Antonio restaurants. Most of these web resources include menus. This collection also contains a group of web resources that document San Antonio restaurants’ responses to COVID-19.",,NA,NA,NA,NA,NA,NA,NA
